;x
1;Dirección de Administración de Recursos Humanos
2;Dirección de Bienes y Servicios Reales
3;Dirección de Capacitación y Carrera de Personal
4;Dirección de Compras y Contrataciones
5;Dirección de Cuentas de la Producción, Ocupación e Ingresos
6;Dirección de Encuesta Permanente de Hogares
7;Dirección de Estadisticas de la Balanza de Pagos
8;Dirección de Estadisticas del Sector Primario
9;Dirección de Estadísticas del Sector Secundario
10;Dirección de Estadisticas del Sector Terciario y Precios
11;Dirección de Estadisticas Poblacionales
12;Dirección de Estadisticas Sectoriales
13;Dirección de Estudios de Ingresos y Gastos de los Hogares
14;Dirección de Gestión
15;Dirección de Indice de Precios de Consumo
16;Dirección de Informatica
17;Dirección de Logística Operativa
18;Dirección de Planificación
19;Dirección de Programación y Control Presupuestario
20;Dirección del INDEC
21;Dirección General de Administración y Operaciones
22;Dirección General de Recursos Humanos y Organización
23;Dirección Nacional de Cuentas Internacionales
24;Dirección Nacional de Cuentas Nacionales
25;Dirección Nacional de Difusión y Comunicación
26;Dirección Nacional de Encuestas y Gastos de los Hogares
27;Dirección Nacional de Estadísticas de Condiciones de Vida
28;Dirección Nacional de Estadisticas del Sector Externo
29;Dirección Nacional de Estadísticas del Sector Externo
30;Dirección Nacional de Estadísticas del Sector Terciario y Precios
31;Dirección Nacional de Estadisticas Sociales y Población
32;Dirección Nacional de Estadísticas y Precios de la Producción y el Comercio
33;Dirección Nacional de Metodologia Estadistica
34;Dirección Nacional de Planificación y Relaciones Institucionales e Internacionales
35;Dirección Nacional del Sistema Estadístico Nacional
36;Dirección Nacional Planificación, Relaciones Institucionales e Internacionales
37;Dirección Técnica
38;Informática
39;UEP
